#node time(s) x y
0 0.314 250.000 250.000
1 0.592 250.000 250.000
2 0.871 250.000 250.000
0 0.884 250.719 250.695
1 0.885 250.751 249.340
2 0.885 249.387 249.210
0 0.896 251.437 251.391
1 0.897 251.502 248.679
2 0.898 248.774 248.420
0 0.909 252.156 252.086
1 0.910 252.253 248.019
2 0.912 248.161 247.630
0 0.922 252.874 252.782
1 0.923 253.004 247.358
2 0.924 247.548 246.840
0 0.935 253.593 253.477
1 0.936 253.754 246.698
2 0.937 246.935 246.050
0 0.948 254.311 254.173
1 0.949 254.505 246.037
2 0.950 246.322 245.260
0 0.961 255.030 254.868
1 0.962 255.256 245.377
2 0.963 245.709 244.470
0 0.974 255.748 255.564
1 0.975 256.007 244.717
2 0.976 245.095 243.680
0 0.988 256.467 256.259
1 0.989 256.758 244.056
2 0.989 244.482 242.890
0 1.000 257.186 256.955
1 1.002 257.509 243.396
2 1.003 243.869 242.100
0 1.014 257.904 257.650
1 1.015 258.260 242.735
2 1.016 243.256 241.310
0 1.028 258.623 258.346
1 1.029 259.011 242.075
2 1.030 242.643 240.520
0 1.041 259.341 259.041
1 1.042 259.762 241.414
2 1.043 242.030 239.730
0 1.055 260.060 259.737
1 1.056 260.513 240.754
2 1.057 241.417 238.940
0 1.068 260.778 260.432
1 1.069 261.263 240.094
2 1.070 240.804 238.150
0 1.083 261.497 261.128
1 1.084 262.014 239.433
2 1.085 240.191 237.359
0 1.097 262.215 261.823
1 1.098 262.765 238.773
2 1.099 239.578 236.569
0 1.110 262.934 262.518
1 1.111 263.516 238.112
2 1.112 238.965 235.779
0 1.124 263.653 263.214
1 1.125 264.267 237.452
2 1.126 238.352 234.989
0 1.137 264.371 263.909
1 1.139 265.018 236.792
2 1.140 237.739 234.199
0 1.152 265.090 264.605
1 1.153 265.769 236.131
2 1.154 237.126 233.409
0 1.165 265.808 265.300
1 1.165 266.520 235.471
2 1.166 236.513 232.619
0 1.177 266.527 265.996
1 1.178 267.271 234.810
2 1.179 235.900 231.829
0 1.190 267.245 266.691
1 1.191 268.021 234.150
2 1.192 235.286 231.039
0 1.205 267.964 267.387
1 1.205 268.772 233.489
2 1.206 234.673 230.249
0 1.219 268.682 268.082
1 1.220 269.523 232.829
2 1.221 234.060 229.459
0 1.231 269.401 268.778
1 1.232 270.274 232.169
2 1.233 233.447 228.669
0 1.243 270.120 269.473
1 1.244 271.025 231.508
2 1.245 232.834 227.879
0 1.257 270.838 270.169
1 1.259 271.776 230.848
2 1.260 232.221 227.089
0 1.277 271.557 270.864
1 1.279 272.527 230.187
2 1.280 231.608 226.299
0 1.291 272.275 271.560
1 1.292 273.278 229.527
2 1.293 230.995 225.509
0 1.306 272.994 272.255
1 1.308 274.029 228.866
2 1.309 230.382 224.719
0 1.320 273.712 272.950
1 1.322 274.779 228.206
2 1.323 229.769 223.929
0 1.334 274.431 273.646
1 1.336 275.530 227.546
2 1.337 229.156 223.139
0 1.349 275.149 274.341
1 1.350 276.281 226.885
2 1.351 228.543 222.349
